Site,Latitude,Longitude,Start_Year,End_Year,n_obs
Balandran,43.76,4.46,1981,2015,2786
Bonn,50.62,6.98,1977,2015,30
Bozas,45.06,4.65,2000,2011,100
Carpentras,44.09,5.05,1993,2014,558
Cieza,38.29,-1.5,2005,2010,15
Conthey,46.22,7.33,1978,2007,29
Corbins,41.7,0.69,1995,2006,157
East Malling,51.28,0.45,1977,2014,167
ElTorno,40.14,-5.95,1993,2013,10
Etoile,44.82,4.89,1984,2014,1706
Forlì,44.22,12.02,1990,2015,40
Gembloux,50.55,4.66,1988,2015,27
Jork,53.51,9.74,1992,2011,686
Jumilla,38.04,-1.98,2009,2015,234
Montauban,44.04,1.31,2003,2012,88
Obernai,48.47,7.51,2005,2014,156
Plovdiv,42.11,24.7,2005,2011,45
St Epain,47.16,0.6,2006,2014,255
St Gilles,43.69,4.43,2003,2013,406
St Laurent d'Agny,45.63,4.68,2006,2014,241
Torreilles,42.76,2.98,2007,2014,129
Toulenne,44.58,-0.28,1980,2015,4299
Ullensvang,60.32,6.66,1990,2007,238
Vienna,48.29,16.43,1981,2016,175
Čačak,43.88,20.35,1991,2014,338
